1. open,2. high,3. low,4. close,5. volume
996.95,1008.0,994.55,1000.0,508305.0
1005.15,1011.9,995.6,997.85,717133.0
1020.05,1022.0,1004.3,1007.1,522691.0
1008.9,1023.95,1005.0,1018.75,696022.0
1000.1,1015.4,1000.1,1005.35,574850.0
984.75,1009.3,984.05,999.35,489973.0
982.2,987.7,980.2,984.7,848654.0
976.0,985.45,973.55,982.2,332569.0
963.55,976.0,959.35,973.3,340615.0
965.95,968.3,961.45,964.85,326921.0
967.1,971.15,964.45,966.4,401851.0
972.1,977.5,967.95,969.0,406527.0
975.05,977.6,970.45,971.85,181180.0
983.9,983.9,972.6,974.25,395098.0
978.15,981.9,977.0,980.15,261032.0
976.75,981.0,973.5,977.7,594574.0
965.0,978.5,965.0,975.9,569861.0
967.95,969.0,958.8,961.4,222081.0
959.95,969.3,957.05,967.15,118671.0
964.05,967.0,958.0,962.9,205217.0
963.95,966.45,958.25,963.4,1563506.0
959.35,964.0,955.1,959.55,423587.0
956.05,964.2,950.8,959.35,374212.0
972.35,972.5,951.0,956.1,2120466.0
948.8,972.8,946.8,971.4,511017.0
951.7,952.55,944.1,948.05,2062068.0
972.25,972.25,947.35,951.4,875186.0
976.0,980.05,964.55,967.75,528774.0
984.7,991.25,970.2,973.15,312355.0
977.0,983.0,973.0,979.55,397881.0
987.85,988.0,968.8,972.85,1490247.0
987.4,999.1,982.2,984.05,412996.0
976.0,988.9,971.5,983.2,243325.0
974.2,977.85,967.7,970.3,444259.0
979.95,980.55,971.0,972.6,188598.0
988.95,988.95,979.0,981.7,1009998.0
972.5,984.5,969.0,982.45,240778.0
976.8,976.8,970.0,972.55,392640.0
974.15,976.2,969.95,973.2,215607.0
954.25,969.0,953.0,967.35,478259.0
955.7,964.0,952.2,954.55,968319.0
958.0,961.5,951.05,957.35,359053.0
954.0,954.5,945.05,953.3,1406920.0
955.95,963.0,949.15,951.85,387727.0
959.95,964.5,944.0,955.95,582333.0
966.35,971.15,955.3,960.75,1731058.0
952.25,959.0,941.35,957.05,948033.0
938.5,953.15,937.8,950.25,696733.0
935.8,946.7,930.25,937.0,780748.0
940.0,944.6,932.9,934.1,1338039.0
932.6,941.65,930.3,939.8,1089247.0
923.25,935.9,917.8,930.25,641738.0
905.5,927.9,905.5,923.25,392249.0
911.45,914.2,900.8,904.4,176431.0
910.55,917.9,904.8,911.45,1321998.0
893.7,913.4,891.55,906.85,835351.0
886.25,894.6,882.6,889.35,436700.0
886.75,891.9,882.5,886.9,1072968.0
877.2,887.75,877.2,886.2,564545.0
883.0,884.5,872.15,876.9,281465.0
879.95,888.05,875.8,883.0,620211.0
861.2,883.7,861.2,880.75,1334463.0
861.25,865.65,858.25,862.1,1347934.0
866.1,868.0,857.3,858.05,663817.0
874.05,875.95,863.05,864.7,715720.0
868.9,874.9,862.55,874.05,652683.0
864.15,872.95,863.85,867.05,783340.0
872.6,876.5,862.4,864.05,2208404.0
870.45,877.5,867.85,872.55,229410.0
857.05,873.0,855.9,870.5,533094.0
861.05,864.15,852.5,857.0,342057.0
865.85,870.05,859.55,861.05,804427.0
875.2,880.4,864.55,865.85,450238.0
851.1,874.0,851.1,870.5,388234.0
862.9,868.0,853.9,855.05,266104.0
852.5,863.5,849.05,862.25,552336.0
856.7,860.9,851.05,854.45,719272.0
833.25,858.0,831.0,856.95,1807341.0
823.4,833.0,821.6,831.8,368364.0
823.3,828.0,821.4,824.9,139666.0
824.9,825.35,819.9,823.3,297096.0
816.25,825.5,816.25,823.8,1044344.0
811.2,824.5,810.2,818.3,489810.0
810.35,812.45,805.4,808.95,170532.0
807.1,813.5,807.1,809.0,268859.0
811.9,812.2,803.6,806.95,272131.0
816.75,816.75,807.85,809.35,619504.0
805.0,813.2,803.1,812.15,187814.0
809.9,810.5,802.9,803.95,119021.0
802.65,808.25,802.65,805.9,164286.0
802.0,807.0,798.6,802.35,520632.0
807.8,810.6,800.7,802.05,146716.0
815.8,815.8,806.55,807.8,677825.0
817.0,820.45,814.0,815.5,373280.0
825.5,825.95,815.55,816.1,158755.0
828.8,833.45,824.5,825.55,138694.0
829.8,831.5,826.95,828.8,156440.0
827.65,831.25,825.85,830.35,289674.0
831.35,835.2,825.3,827.0,435823.0
821.85,828.0,819.2,826.7,492882.0
